accession	id	ec	length	organism	primary_pfam	primary_pfam_name	all_pfams
Q83D87	PNP_COXBU	2.7.7.8	696	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q83DY4	NADD_COXBU	2.7.7.18	215	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	PF01467	Cytidylyltransferase-like	PF01467
Q83E52	KDSB_COXBU	2.7.7.38	249	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	PF02348	Cytidylyltransferase	PF02348
Q83EL9	RNPH_COXBU	2.7.7.56	239	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
Q83EM7	COAD_COXBU	2.7.7.3	159	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	PF01467	Cytidylyltransferase-like	PF01467
Q83EQ2	RPOA_COXBU	2.7.7.6	327	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q83ET0	RPOC_COXBU	2.7.7.6	1414	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q83FT1	RNPH_TROWT	2.7.7.56	247	Tropheryma whipplei (strain Twist) (Whipple's bacillus)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
Q83FX9	COAD_TROWT	2.7.7.3	176	Tropheryma whipplei (strain Twist) (Whipple's bacillus)	PF01467	Cytidylyltransferase-like	PF01467
Q83G94	PNP_TROWT	2.7.7.8	738	Tropheryma whipplei (strain Twist) (Whipple's bacillus)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF01138;PF00575
Q83HF6	RNPH_TROW8	2.7.7.56	247	Tropheryma whipplei (strain TW08/27) (Whipple's bacillus)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
Q83I84	COAD_TROW8	2.7.7.3	176	Tropheryma whipplei (strain TW08/27) (Whipple's bacillus)	PF01467	Cytidylyltransferase-like	PF01467
Q83JD1	TSAC_SHIFL	2.7.7.87	190	Shigella flexneri	PF01300	Telomere recombination	PF01300
Q83JG0	PNP_SHIFL	2.7.7.8	711	Shigella flexneri	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q83JX8	CYSN_SHIFL	2.7.7.4	475	Shigella flexneri	PF22594	GTP-eEF1A C-terminal domain-like	PF22594;PF00009
Q83KV7	DOSC_SHIFL	2.7.7.65	381	Shigella flexneri	PF00990	Diguanylate cyclase, GGDEF domain	PF21118;PF00990;PF11563
Q83M86	DPO4_SHIFL	2.7.7.7	351	Shigella flexneri	PF00817	impB/mucB/samB family	PF00817;PF11799;PF21999
Q83MD4	GLND_SHIFL	2.7.7.59; 3.1.4.-	890	Shigella flexneri	PF01966	HD domain	PF01842;PF08335;PF01966;PF01909
Q83MX3	ISPDF_TROWT	2.7.7.60; 4.6.1.12	422	Tropheryma whipplei (strain Twist) (Whipple's bacillus)	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PF01128;PF02542
Q83NK3	ISPDF_TROW8	2.7.7.60; 4.6.1.12	422	Tropheryma whipplei (strain TW08/27) (Whipple's bacillus)	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PF01128;PF02542
Q83PN2	RNPH_SHIFL	2.7.7.56	238	Shigella flexneri	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
Q85036	RDRP_ROTPY	2.7.7.48	1088	Rotavirus A (strain RVA/Pig/Mexico/YM/1983/G11P9[7]) (RV-A)	PF02123	Viral RNA-directed RNA-polymerase	PF02123;PF12289
Q85228	PRIM_SUHVK	2.7.7.-	962	Suid herpesvirus 1 (strain Kaplan) (SuHV-1) (Pseudorabies virus (strain Kaplan))	PF03121	Herpesviridae UL52/UL70 DNA primase	PF03121
Q85437	MCE_RDVF	2.7.7.50	801	Rice dwarf virus (isolate Fujian) (RDV)	NO_PFAM	no Pfam annotation	
Q85A01	RPOA_ANTAG	2.7.7.6	340	Anthoceros angustus (Hornwort) (Anthoceros formosae)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q85BW1	RPOB_ANTAG	2.7.7.6	1071	Anthoceros angustus (Hornwort) (Anthoceros formosae)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF00562;PF04560
Q85C71	RPOC2_ANTAG	2.7.7.6	1445	Anthoceros angustus (Hornwort) (Anthoceros formosae)	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
Q85CL6	RPOC1_ANTAG	2.7.7.6	681	Anthoceros angustus (Hornwort) (Anthoceros formosae)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623
Q85FJ1	RPOA_ADICA	2.7.7.6	345	Adiantum capillus-veneris (Maidenhair fern)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q85FM7	RPOB_ADICA	2.7.7.6	1071	Adiantum capillus-veneris (Maidenhair fern)	PF00562	RNA polymerase Rpb2, domain 6	PF04561;PF04565;PF00562;PF04560
Q85FM8	RPOC1_ADICA	2.7.7.6	694	Adiantum capillus-veneris (Maidenhair fern)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623;PF04983
Q85FM9	RPOC2_ADICA	2.7.7.6	1420	Adiantum capillus-veneris (Maidenhair fern)	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
Q85FR6	RPOC_CYAM1	2.7.7.6	1676	Cyanidioschyzon merolae (strain NIES-3377 / 10D) (Unicellular red alga)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q85FR7	RPOB_CYAM1	2.7.7.6	1036	Cyanidioschyzon merolae (strain NIES-3377 / 10D) (Unicellular red alga)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
Q85FU3	RPOA_CYAM1	2.7.7.6	316	Cyanidioschyzon merolae (strain NIES-3377 / 10D) (Unicellular red alga)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q85WS8	RPOC1_PINKO	2.7.7.6	696	Pinus koraiensis (Korean pine)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623;PF04983
Q85X01	RPOA_PINKO	2.7.7.6	335	Pinus koraiensis (Korean pine)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q85X54	RPOB_PINKO	2.7.7.6	1075	Pinus koraiensis (Korean pine)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF00562;PF04560
Q85X62	RPOC2_PINKO	2.7.7.6	1209	Pinus koraiensis (Korean pine)	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
Q86AQ5	RPC1_DICDI	2.7.7.6	1450	Dictyostelium discoideum (Social amoeba)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q86H36	RPA1_DICDI	2.7.7.6	1615	Dictyostelium discoideum (Social amoeba)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q87022	RDRP_SCVLA	2.7.7.48	1505	Saccharomyces cerevisiae virus L-A (ScV-L-A) (ScVL1)	PF02123	Viral RNA-directed RNA-polymerase	PF09220;PF02123
Q87A33	RPOC_XYLFT	2.7.7.6	1407	Xylella fastidiosa (strain Temecula1 / ATCC 700964)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q87AQ5	TSAC_XYLFT	2.7.7.87	187	Xylella fastidiosa (strain Temecula1 / ATCC 700964)	PF01300	Telomere recombination	PF01300
Q87DG3	RNPH_XYLFT	2.7.7.56	241	Xylella fastidiosa (strain Temecula1 / ATCC 700964)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
Q87EM8	COAD_XYLFT	2.7.7.3	162	Xylella fastidiosa (strain Temecula1 / ATCC 700964)	PF01467	Cytidylyltransferase-like	PF01467
Q87EV0	PNP_XYLFT	2.7.7.8	700	Xylella fastidiosa (strain Temecula1 / ATCC 700964)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q87HX3	GLGC2_VIBPA	2.7.7.27	404	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF00483	Nucleotidyl transferase	PF24894;PF00483
Q87KE2	TSAC_VIBPA	2.7.7.87	185	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF01300	Telomere recombination	PF01300
Q87KQ5	RPOC_VIBPA	2.7.7.6	1400	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q87M06	PNP_VIBPA	2.7.7.8	711	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q87MB4	DPO4_VIBPA	2.7.7.7	354	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF00817	impB/mucB/samB family	PF00817;PF11799;PF21999
Q87MD6	GLND_VIBPA	2.7.7.59; 3.1.4.-	874	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF01966	HD domain	PF01842;PF08335;PF01966;PF01909
Q87PK5	MOBA_VIBPA	2.7.7.77	195	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF12804	MobA-like NTP transferase domain	PF12804
Q87QX6	GLGC1_VIBPA	2.7.7.27	405	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF00483	Nucleotidyl transferase	PF24894;PF00483
Q87SK0	GLNE_VIBPA	2.7.7.42; 2.7.7.89	947	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF08335	GlnD PII-uridylyltransferase	PF08335;PF03710
Q87SX9	CYSN_VIBPA	2.7.7.4	476	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF22594	GTP-eEF1A C-terminal domain-like	PF22594;PF00009
Q87SY0	CYSD_VIBPA	2.7.7.4	302	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
Q87SZ0	RPOA_VIBPA	2.7.7.6	330	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q87T80	COAD_VIBPA	2.7.7.3	167	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF01467	Cytidylyltransferase-like	PF01467
Q87T93	RNPH_VIBPA	2.7.7.56	238	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
Q87VD5	GLNE_PSESM	2.7.7.42; 2.7.7.89	985	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF08335	GlnD PII-uridylyltransferase	PF08335;PF03710
Q87WQ8	PNP_PSESM	2.7.7.8	701	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q87WW0	CYSD_PSESM	2.7.7.4	305	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
Q87Y22	DPO4_PSESM	2.7.7.7	353	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF00817	impB/mucB/samB family	PF00817;PF11799;PF11798
Q883K6	MOBA_PSESM	2.7.7.77	201	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF12804	MobA-like NTP transferase domain	PF12804
Q886P5	GLND_PSESM	2.7.7.59; 3.1.4.-	898	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF01966	HD domain	PF01842;PF08335;PF01966;PF01909
Q887Q9	ALGA_PSESM	2.7.7.13; 5.3.1.8	483	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF00483	Nucleotidyl transferase	PF22640;PF01050;PF00483
Q88888	REP_TPCTV	2.7.7.-; 3.1.21.-	349	Tomato pseudo-curly top virus (TPCTV)	PF00799	Geminivirus Rep catalytic domain	PF00799;PF08283
Q889U6	RPOA_PSESM	2.7.7.6	333	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q889X7	RPOC_PSESM	2.7.7.6	1399	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q88AH3	COAD_PSESM	2.7.7.3	159	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF01467	Cytidylyltransferase-like	PF01467
Q88B46	TSAC_PSESM	2.7.7.87	185	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF01300	Telomere recombination	PF01300
Q88BE0	RNPH_PSESM	2.7.7.56	240	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
Q88C89	RNPH_PSEPK	2.7.7.56	240	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
Q88CQ7	COAD_PSEPK	2.7.7.3	161	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF01467	Cytidylyltransferase-like	PF01467
Q88DW0	PNP_PSEPK	2.7.7.8	701	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q88HA3	MOBA_PSEPK	2.7.7.77	191	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF12804	MobA-like NTP transferase domain	PF12804
Q88MI2	GLND_PSEPK	2.7.7.59; 3.1.4.-	900	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF01966	HD domain	PF01842;PF08335;PF01966;PF01909
Q88NA9	CYSD_PSEPK	2.7.7.4	305	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
Q88ND5	ALGA_PSEPK	2.7.7.13; 5.3.1.8	485	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF00483	Nucleotidyl transferase	PF22640;PF01050;PF00483
Q88NK4	DPO4_PSEPK	2.7.7.7	354	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF00817	impB/mucB/samB family	PF00817;PF11799;PF21999
Q88QL1	RPOA_PSEPK	2.7.7.6	333	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q88QP1	RPOC_PSEPK	2.7.7.6	1399	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q88QU2	CCA_PSEPK	2.7.7.72; 3.1.3.-; 3.1.4.-	368	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF01743	Poly A polymerase head domain	PF01743;PF12627
Q88QZ4	GLNE_PSEPK	2.7.7.42; 2.7.7.89	977	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF08335	GlnD PII-uridylyltransferase	PF08335;PF03710
Q88RQ9	TSAC_PSEPK	2.7.7.87	185	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF01300	Telomere recombination	PF01300
Q88V07	DPO4_LACPL	2.7.7.7	377	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	PF00817	impB/mucB/samB family	PF00817;PF11799
Q88VC8	COAD_LACPL	2.7.7.3	163	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	PF01467	Cytidylyltransferase-like	PF01467
Q88W02	CCA_LACPL	2.7.7.72	407	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	PF01743	Poly A polymerase head domain	PF01743;PF12627;PF13735
Q88W46	TARI_LACPL	2.7.7.40	233	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PF01128
Q88XW0	RPOA_LACPL	2.7.7.6	314	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q88XZ2	RPOC_LACPL	2.7.7.6	1213	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q88XZ3	RPOB_LACPL	2.7.7.6	1201	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
Q890J0	GLGC_LACPL	2.7.7.27	379	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	PF00483	Nucleotidyl transferase	PF24894;PF00483
Q890L8	DISA_CLOTE	2.7.7.85	360	Clostridium tetani (strain Massachusetts / E88)	PF02457	DisA bacterial checkpoint controller nucleotide-binding	PF02457;PF10635;PF00633
Q890N4	RPOB_CLOTE	2.7.7.6	1236	Clostridium tetani (strain Massachusetts / E88)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
Q890N5	RPOC_CLOTE	2.7.7.6	1135	Clostridium tetani (strain Massachusetts / E88)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q890R0	RPOA_CLOTE	2.7.7.6	315	Clostridium tetani (strain Massachusetts / E88)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q89251	POLG_WMV2T	2.7.7.48	455	Watermelon mosaic virus II (isolate Tonga) (Vanilla necrosis potyvirus) (VNV)	PF00680	Viral RNA-dependent RNA polymerase	PF00767;PF00680
Q895J3	PNP_CLOTE	2.7.7.8	705	Clostridium tetani (strain Massachusetts / E88)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q895N8	COAD_CLOTE	2.7.7.3	160	Clostridium tetani (strain Massachusetts / E88)	PF01467	Cytidylyltransferase-like	PF01467
Q89703	POL_CSVMV	2.7.7.49; 3.1.26.4; 3.4.23.-	652	Cassava vein mosaic virus (CsVMV)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF02160;PF17917;PF00078
Q89A89	TSAC_BUCBP	2.7.7.87	186	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	PF01300	Telomere recombination	PF01300
Q89A95	DPO3X_BUCBP	2.7.7.7	370	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	PF13177	DNA polymerase III, delta subunit	PF13177;PF12169;PF22608
Q89AF8	PNP_BUCBP	2.7.7.8	693	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q89AN3	DPO3E_BUCBP	2.7.7.7	245	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	PF00929	Exonuclease	PF00929
Q89B06	CCA_BUCBP	2.7.7.72	419	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	PF01743	Poly A polymerase head domain	PF01743;PF12627
Q89B09	DNAG_BUCBP	2.7.7.101	578	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	PF08275	DNA primase catalytic core, N-terminal domain	PF10410;PF08278;PF08275;PF13155;PF01807
Q89B21	RPOC_BUCBP	2.7.7.6	1404	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q89G87	GLGC_BRADU	2.7.7.27	420	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF00483	Nucleotidyl transferase	PF24894;PF00483
Q89J75	RPOC_BRADU	2.7.7.6	1398	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q89JA7	RPOA_BRADU	2.7.7.6	343	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q89L55	COAD_BRADU	2.7.7.3	165	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF01467	Cytidylyltransferase-like	PF01467
Q89LQ8	ISPDF_BRADU	2.7.7.60; 4.6.1.12	398	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PF01128;PF02542
Q89QJ5	GLNE_BRADU	2.7.7.42; 2.7.7.89	995	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF08335	GlnD PII-uridylyltransferase	PF08335;PF03710
Q89VX9	GLND_BRADU	2.7.7.59; 3.1.4.-	929	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF01966	HD domain	PF01842;PF08335;PF01966;PF01909
Q89WB3	PNP_BRADU	2.7.7.8	720	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q89WK4	RNPH_BRADU	2.7.7.56	237	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
Q89X84	NADD_BRADU	2.7.7.18	193	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF01467	Cytidylyltransferase-like	PF01467
Q8A3C0	COAD_BACTN	2.7.7.3	151	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	PF01467	Cytidylyltransferase-like	PF01467
Q8A470	RPOC_BACTN	2.7.7.6	1427	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q8A4A2	RPOA_BACTN	2.7.7.6	330	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
Q8A4N6	PNP_BACTN	2.7.7.8	708	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q8AAP9	CYSN_BACTN	2.7.7.4	485	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	PF22594	GTP-eEF1A C-terminal domain-like	PF22594;PF00009
Q8AAQ0	CYSD_BACTN	2.7.7.4	302	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
Q8AY65	MB211_CHICK	2.7.7.-	359	Gallus gallus (Chicken)	PF20266	Mab-21 protein HhH/H2TH-like domain	PF03281;PF20266
Q8AZL8	RDRP_BSNV	2.7.7.48	867	Blotched snakehead virus (BSNV) (Channa lucius virus)	PF04197	Birnavirus RNA dependent RNA polymerase (VP1), palm domain	PF20489;PF04197;PF20488
Q8BB04	VP3_ROTRF	2.1.1.56; 2.7.7.50; 3.1.4.-	835	Rotavirus A (strain RVA/Cow/France/RF/1975/G6P6[1]) (RV-A)	PF06929	Rotavirus VP3 protein	PF06929
Q8BCV9	L_MILVL	2.1.1.56; 2.7.7.-; 2.7.7.48	2280	Mirafiori lettuce virus (isolate Lettuce/Netherlands/LS301-O) (MiLV) (Mirafiori lettuce big-vein virus)	NO_PFAM	no Pfam annotation	
Q8C152	TET5B_MOUSE	2.7.7.19	427	Mus musculus (Mouse)	PF07984	Nucleotidyltransferase	PF07984
Q8CJQ6	PNP_STRCO	2.7.7.8	739	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF00575
Q8CJT1	RPOC_STRCO	2.7.7.6	1299	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
Q8CK02	GLNE_STRCO	2.7.7.42; 2.7.7.89	999	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	PF08335	GlnD PII-uridylyltransferase	PF08335;PF03710
Q8CNE5	MOBA_STAES	2.7.7.77	201	Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200)	PF12804	MobA-like NTP transferase domain	PF12804
Q8CNP3	DPO4_STAES	2.7.7.7	356	Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200)	PF00817	impB/mucB/samB family	PF00817;PF11799;PF21999
Q8CP23	DNAG_STAES	2.7.7.101	598	Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200)	PF08275	DNA primase catalytic core, N-terminal domain	PF00772;PF21650;PF08275;PF13155;PF01807
Q8CP70	CCA_STAES	2.7.7.72	400	Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200)	PF01743	Poly A polymerase head domain	PF01743;PF12627;PF13735
